landuse,latitudes,longitudes
grass,"[45.452186, 45.4521321, 45.4530234, 45.4530773, 45.452186]","[9.2082971, 9.2084316, 9.2091582, 9.2090238, 9.2082971]"
grass,"[45.4537597, 45.4538713, 45.4538848, 45.4538986, 45.4539114, 45.4539216, 45.4539284, 45.4539308, 45.4539287, 45.4539223, 45.4539123, 45.4538092, 45.4537952, 45.4537805, 45.453767, 45.4537562, 45.4537477, 45.4537455, 45.4537482, 45.4537597]","[9.2097356, 9.209831, 9.2098358, 9.2098341, 9.2098262, 9.2098128, 9.2097954, 9.2097759, 9.2097563, 9.2097387, 9.209725, 9.2096393, 9.2096332, 9.2096344, 9.2096426, 9.2096568, 9.2096736, 9.2096956, 9.2097172, 9.2097356]"
farmland,"[45.4696717, 45.4706322, 45.4706845, 45.4709376, 45.4711535, 45.4711683, 45.4708144, 45.4708558, 45.4709398, 45.4713072, 45.4713197, 45.4707167, 45.4707614, 45.4705353, 45.4701041, 45.4696717]","[9.2561197, 9.2559427, 9.2565691, 9.2565294, 9.2583542, 9.2584793, 9.2585228, 9.258775, 9.2592391, 9.259129, 9.2596025, 9.2596654, 9.2601793, 9.260245, 9.2603719, 9.2561197]"
industrial,"[45.4634407, 45.4634451, 45.4620448, 45.4620776, 45.4620798, 45.4620829, 45.4633172, 45.4634407]","[9.2533234, 9.2569835, 9.2572215, 9.2540123, 9.2536546, 9.2531661, 9.2532056, 9.2533234]"
residential,"[45.444012, 45.4439578, 45.4438972, 45.4438747, 45.443863, 45.4438288, 45.4437975, 45.4437856, 45.4437731, 45.4437668, 45.4437655, 45.443766, 45.4403282, 45.4403191, 45.4403366, 45.4424897, 45.4426369, 45.442742, 45.444012]","[9.2233695, 9.2234091, 9.2234589, 9.2234853, 9.2235048, 9.2235684, 9.2236441, 9.2236899, 9.223743, 9.2238003, 9.2238388, 9.2240258, 9.2240917, 9.2238879, 9.223753, 9.2193567, 9.2197433, 9.2199381, 9.2233695]"
village_green,"[45.4545943, 45.4541049, 45.4540367, 45.4540538, 45.4540837, 45.454413, 45.4545943]","[9.2179878, 9.2186526, 9.2181303, 9.2180509, 9.2180006, 9.2178206, 9.2179878]"
grass,"[45.4430746, 45.4432442, 45.4440625, 45.4440525, 45.444023, 45.443943, 45.4430746]","[9.224796, 9.2249725, 9.2249459, 9.224896, 9.2248398, 9.2247717, 9.224796]"
grass,"[45.4560019, 45.4559748, 45.4568664, 45.4568918, 45.4560019]","[9.2166435, 9.2167939, 9.2171562, 9.2170135, 9.2166435]"
grass,"[45.4577615, 45.4578536, 45.4578711, 45.4579043, 45.4580785, 45.4581651, 45.4582148, 45.4583368, 45.4584364, 45.4585156, 45.4585385, 45.4585367, 45.4582998, 45.4579832, 45.4576012, 45.4576019, 45.4575805, 45.4575726, 45.457571, 45.4576079, 45.4577056, 45.4577615]","[9.2425194, 9.2424466, 9.2424028, 9.2423499, 9.2421199, 9.242044, 9.2420034, 9.2419028, 9.2417657, 9.2416411, 9.241494, 9.2413385, 9.2409849, 9.2414246, 9.2419808, 9.2419935, 9.2420313, 9.242059, 9.2421406, 9.2424662, 9.2424061, 9.2425194]"
farmyard,"[45.464895, 45.4648014, 45.4647811, 45.4648621, 45.4649477, 45.4650602, 45.4651458, 45.4652494, 45.4653348, 45.465347, 45.4656744, 45.4656843, 45.4658107, 45.4658419, 45.4653203, 45.4652591, 45.464895]","[9.2575133, 9.2566697, 9.2561056, 9.2561028, 9.2560984, 9.2560845, 9.2560417, 9.256015, 9.2560586, 9.2564011, 9.2563932, 9.2566615, 9.2570187, 9.2573472, 9.2574305, 9.2574401, 9.2575133]"
grass,"[45.4288587, 45.4289209, 45.4289694, 45.4289993, 45.4290179, 45.4289532, 45.4288674, 45.4287666, 45.4287081, 45.4286123, 45.4285476, 45.4284729, 45.4284293, 45.4283596, 45.428336, 45.428346, 45.4283957, 45.4284492, 45.4285115, 45.4285762, 45.4286421, 45.4287155, 45.4287678, 45.4288275, 45.4288587]","[9.2450385, 9.2452276, 9.2452998, 9.2453608, 9.2454504, 9.2453595, 9.2452761, 9.2452264, 9.2452114, 9.2452114, 9.2452301, 9.2452712, 9.2453073, 9.2453869, 9.245372, 9.2453334, 9.2452127, 9.2451218, 9.2450447, 9.2449849, 9.2449501, 9.2449389, 9.2449489, 9.2449862, 9.2450385]"
