landuse,latitudes,longitudes
brownfield,"[45.4237706, 45.4238227, 45.4238606, 45.4239628, 45.4240026, 45.4236966, 45.4234142, 45.4232778, 45.4234104, 45.4236457, 45.4237706]","[9.2486778, 9.2486052, 9.2486566, 9.2488003, 9.2488583, 9.2492946, 9.249662, 9.249467, 9.2492061, 9.2488501, 9.2486778]"
commercial,"[45.4459418, 45.4458851, 45.4453012, 45.4451063, 45.4451192, 45.4451278, 45.445136, 45.4454692, 45.4459115, 45.4459762, 45.4459418]","[9.2504465, 9.2504519, 9.2505023, 9.2505192, 9.2507935, 9.2509767, 9.2511498, 9.2511262, 9.251077, 9.2510704, 9.2504465]"
commercial,"[45.4458924, 45.4458974, 45.4461093, 45.4464856, 45.4461036, 45.4460448, 45.4459541, 45.4458924]","[9.2544011, 9.2545474, 9.2548786, 9.2544113, 9.2544515, 9.2543874, 9.2543955, 9.2544011]"
commercial,"[45.4451939, 45.4453012, 45.4454293, 45.4454072, 45.4454341, 45.4454392, 45.4455424, 45.4456774, 45.4456902, 45.4457045, 45.4457245, 45.4457328, 45.4456106, 45.4454856, 45.4451348, 45.4451426, 45.4451926, 45.4451939]","[9.2436595, 9.2436501, 9.2436457, 9.243195, 9.2431928, 9.2431924, 9.2431815, 9.2431661, 9.2434307, 9.2437267, 9.2441437, 9.2443168, 9.244316, 9.2443152, 9.2443129, 9.2437471, 9.2437426, 9.2436595]"
commercial,"[45.44464, 45.4448297, 45.4448194, 45.4447437, 45.4447061, 45.4446385, 45.4446381, 45.4446429, 45.44464]","[9.2437157, 9.2436966, 9.2443108, 9.2443103, 9.2443078, 9.2443057, 9.244283, 9.2437435, 9.2437157]"
commercial,"[45.4454856, 45.445462, 45.4454666, 45.4455158, 45.4456077, 45.4457473, 45.4457328, 45.4456106, 45.4454856]","[9.2443152, 9.2446551, 9.2446553, 9.2446493, 9.2446382, 9.2446185, 9.2443168, 9.244316, 9.2443152]"
industrial,"[45.4464252, 45.4465344, 45.4467644, 45.4470082, 45.4474959, 45.4479826, 45.448032, 45.44831, 45.4485927, 45.4494746, 45.4498132, 45.4501644, 45.4504729, 45.4510917, 45.4510857, 45.4487789, 45.4484352, 45.4480837, 45.4479675, 45.4475467, 45.4473663, 45.4464252]","[9.2364295, 9.2352742, 9.2353298, 9.235407, 9.2355982, 9.2358679, 9.2359015, 9.2360903, 9.2362874, 9.2368778, 9.2370748, 9.2372279, 9.2373696, 9.2375813, 9.2383266, 9.2383059, 9.2377194, 9.2371436, 9.2369975, 9.2365193, 9.2366736, 9.2364295]"
industrial,"[45.4545481, 45.4525853, 45.4525649, 45.4525428, 45.4525559, 45.4528483, 45.4526943, 45.4527333, 45.452975, 45.4530447, 45.4530245, 45.4529601, 45.4527187, 45.4526795, 45.452671, 45.4525377, 45.4525268, 45.4522074, 45.4523339, 45.4523981, 45.4519444, 45.4509835, 45.4509625, 45.4508495, 45.4508172, 45.450797, 45.4506615, 45.4506439, 45.4503604, 45.4499153, 45.4493171, 45.448897, 45.4484804, 45.448427, 45.4484118, 45.4482954, 45.4482103, 45.4481521, 45.4480855, 45.4479077, 45.447885, 45.4477514, 45.4476296, 45.4476129, 45.4475915, 45.4475733, 45.4475618, 45.4475583, 45.4475595, 45.4475733, 45.4475961, 45.4476279, 45.4476618, 45.4476965, 45.4477441, 45.44787, 45.4479212, 45.4479048, 45.4478369, 45.4477363, 45.4475934, 45.4475935, 45.4479245, 45.4481397, 45.448647, 45.4502679, 45.4503789, 45.4505737, 45.4507611, 45.4509215, 45.4511011, 45.4515253, 45.451555, 45.4520931, 45.4522455, 45.4522684, 45.4523182, 45.4523324, 45.452707, 45.4530095, 45.4530522, 45.4531579, 45.4532716, 45.4533358, 45.4536471, 45.4536408, 45.4536898, 45.4540555, 45.4545481]","[9.2431402, 9.2461353, 9.2461525, 9.2461577, 9.2462608, 9.2467776, 9.2469944, 9.2472111, 9.247589, 9.2476976, 9.247725, 9.2478081, 9.2481413, 9.2480604, 9.2480483, 9.2478578, 9.2478695, 9.2483086, 9.2484956, 9.2485916, 9.2492287, 9.2505126, 9.2505406, 9.2506915, 9.2506611, 9.2506435, 9.2504706, 9.2504442, 9.2508425, 9.2514598, 9.2505938, 9.251183, 9.2505823, 9.2506564, 9.2506775, 9.2508388, 9.2509544, 9.2510334, 9.2511177, 9.2508733, 9.2508421, 9.2506418, 9.2503869, 9.2503233, 9.2502282, 9.2501155, 9.2499938, 9.2498928, 9.2497951, 9.2496863, 9.2495899, 9.2494744, 9.2493805, 9.2492939, 9.2492027, 9.2490351, 9.2489669, 9.2485963, 9.2470826, 9.2447797, 9.2415529, 9.2414353, 9.2414398, 9.2414428, 9.2414498, 9.2414716, 9.2414731, 9.2414757, 9.2414782, 9.2414804, 9.2414828, 9.2414885, 9.2414889, 9.2414961, 9.2414981, 9.2414984, 9.2414991, 9.2414993, 9.2415043, 9.2415084, 9.2415089, 9.2415104, 9.241511, 9.2415118, 9.2416147, 9.242271, 9.242409, 9.2424282, 9.2431402]"
residential,"[45.429765, 45.4301469, 45.4301895, 45.4303153, 45.4309074, 45.4320185, 45.4320386, 45.4320518, 45.4320674, 45.4320869, 45.4321053, 45.4325879, 45.4327117, 45.4329198, 45.4338868, 45.4341747, 45.4341924, 45.4349626, 45.4347924, 45.4347254, 45.4349836, 45.4353932, 45.4354178, 45.4354413, 45.4354641, 45.435536, 45.4356486, 45.43566, 45.4358933, 45.436142, 45.4362432, 45.4364102, 45.4366005, 45.4366162, 45.4366319, 45.4366927, 45.436771, 45.4369348, 45.4373148, 45.4373658, 45.4373847, 45.4380689, 45.4381064, 45.4382131, 45.4382462, 45.4387697, 45.4389364, 45.4389606, 45.4390107, 45.4389941, 45.4389853, 45.4389867, 45.4389984, 45.438976, 45.4389424, 45.4389197, 45.4384602, 45.4383704, 45.4380535, 45.4377709, 45.4377055, 45.4371025, 45.4370292, 45.4367518, 45.4366938, 45.4366281, 45.436598, 45.4365754, 45.436537, 45.4365079, 45.4364783, 45.436454, 45.4364305, 45.4363706, 45.4362798, 45.4360475, 45.435791, 45.4356333, 45.4355302, 45.4354917, 45.4352978, 45.4352655, 45.4349181, 45.4348518, 45.4348987, 45.4353074, 45.4353119, 45.4352525, 45.4348556, 45.4345556, 45.4342678, 45.4342319, 45.4342017, 45.4336336, 45.433592, 45.4335691, 45.4335538, 45.4335505, 45.4335544, 45.4335806, 45.4336062, 45.4334155, 45.4328967, 45.432941, 45.4331723, 45.4327179, 45.432296, 45.432213, 45.4321682, 45.431511, 45.4312349, 45.4308711, 45.4310443, 45.4310159, 45.4309555, 45.431002, 45.4311353, 45.4311275, 45.4310783, 45.431074, 45.4310036, 45.4309824, 45.4307698, 45.4307528, 45.4307078, 45.4305921, 45.4304774, 45.4304095, 45.4298095, 45.4296588, 45.4296648, 45.429765]","[9.2471495, 9.247575, 9.2476255, 9.2477746, 9.2484761, 9.2498081, 9.2498225, 9.2498285, 9.2498357, 9.2498381, 9.2498393, 9.2496079, 9.2495486, 9.2501908, 9.2513087, 9.2507887, 9.2505979, 9.2492622, 9.2490431, 9.2489395, 9.2488489, 9.2487052, 9.2486928, 9.2486723, 9.2486443, 9.2485274, 9.2483443, 9.2483258, 9.2479475, 9.2475291, 9.2473589, 9.2470857, 9.2467667, 9.2467403, 9.2467138, 9.2466107, 9.2465843, 9.2463094, 9.2456716, 9.2455855, 9.2455543, 9.2444061, 9.2441691, 9.2439835, 9.2439278, 9.2430642, 9.2426216, 9.2425599, 9.242432, 9.2423801, 9.2423168, 9.2422604, 9.2421985, 9.2421572, 9.242095, 9.2420673, 9.2414985, 9.2413873, 9.2409951, 9.2406453, 9.2405642, 9.2398179, 9.2397271, 9.2393838, 9.239312, 9.2392124, 9.2391856, 9.2391695, 9.2391569, 9.2391706, 9.2391776, 9.2392008, 9.2392256, 9.2393185, 9.2394344, 9.2398186, 9.2402428, 9.2405033, 9.240673, 9.2407363, 9.2410555, 9.2411087, 9.2416828, 9.2417855, 9.2418896, 9.2429653, 9.2429773, 9.2430714, 9.2437662, 9.2442396, 9.2447615, 9.2448237, 9.2448762, 9.2441853, 9.2441363, 9.2441021, 9.2440673, 9.244013, 9.2439703, 9.2439112, 9.2438661, 9.2436298, 9.2430032, 9.2429295, 9.242543, 9.2420026, 9.2415009, 9.2414021, 9.2413485, 9.2427037, 9.2432743, 9.2441245, 9.2442852, 9.2443462, 9.2444738, 9.2445311, 9.2446959, 9.2447088, 9.2447905, 9.2447976, 9.2449144, 9.2449495, 9.2446955, 9.2446792, 9.2446299, 9.2448749, 9.2451181, 9.2452716, 9.2466296, 9.2469098, 9.2469234, 9.2471495]"
commercial,"[45.4309072, 45.4309197, 45.4310159, 45.4309555, 45.431002, 45.4311353, 45.4311275, 45.4310783, 45.431074, 45.4310036, 45.4309824, 45.4307698, 45.4307528, 45.4307078, 45.4307248, 45.4308528, 45.4309072]","[9.2442224, 9.2442366, 9.2443462, 9.2444738, 9.2445311, 9.2446959, 9.2447088, 9.2447905, 9.2447976, 9.2449144, 9.2449495, 9.2446955, 9.2446792, 9.2446299, 9.2445952, 9.2443223, 9.2442224]"
commercial,"[45.4347056, 45.4342542, 45.4341823, 45.4326373, 45.4326356, 45.4327923, 45.4328158, 45.4339974, 45.4343547, 45.4344001, 45.4347056]","[9.2418519, 9.2426294, 9.242579, 9.240731, 9.2406832, 9.2404085, 9.2403904, 9.2408393, 9.2409857, 9.2410713, 9.2418519]"
construction,"[45.4387288, 45.4396333, 45.4396283, 45.4383509, 45.4378102, 45.4375345, 45.4368593, 45.4368553, 45.4369382, 45.4387288]","[9.2377327, 9.239607, 9.2397398, 9.2411316, 9.2399696, 9.2395683, 9.2385711, 9.238483, 9.2384498, 9.2377327]"
residential,"[45.4259674, 45.426007, 45.4260362, 45.4261147, 45.4270497, 45.4271089, 45.4271811, 45.4273652, 45.4279325, 45.4279629, 45.4279775, 45.4279838, 45.4279851, 45.4279782, 45.4279693, 45.4279498, 45.4279869, 45.4280551, 45.4281244, 45.4281395, 45.4281474, 45.428156, 45.4277586, 45.4277042, 45.4276171, 45.4275899, 45.4275618, 45.4275343, 45.4275059, 45.4274749, 45.4272036, 45.4269214, 45.4268972, 45.4267387, 45.4266888, 45.4262325, 45.425964, 45.4256987, 45.425601, 45.4256624, 45.4259449, 45.4259674]","[9.2524909, 9.252516, 9.2525099, 9.2524321, 9.2514288, 9.2513647, 9.2512845, 9.2510792, 9.2504746, 9.2504397, 9.2504139, 9.2503856, 9.2503614, 9.2503318, 9.2503083, 9.2502767, 9.2502278, 9.2501388, 9.2500484, 9.250072, 9.2500614, 9.25005, 9.2494635, 9.2493772, 9.2494731, 9.2495019, 9.2495287, 9.2495496, 9.2495685, 9.2495878, 9.2499357, 9.2502402, 9.2502667, 9.2505013, 9.2505752, 9.2510706, 9.2513607, 9.2516473, 9.251753, 9.2518769, 9.2524455, 9.2524909]"
commercial,"[45.4252328, 45.4264881, 45.4256389, 45.4252278, 45.4252986, 45.4248784, 45.4252591, 45.4248525, 45.4252328]","[9.2518296, 9.2504458, 9.2488757, 9.2493079, 9.2494423, 9.2498826, 9.2506279, 9.2510804, 9.2518296]"
construction,"[45.4265042, 45.4263573, 45.4261156, 45.4262604, 45.4263154, 45.4263846, 45.4264413, 45.4265042]","[9.2519136, 9.2520706, 9.2516062, 9.2514504, 9.2515549, 9.2516864, 9.2517941, 9.2519136]"
retail,"[45.4579761, 45.458239, 45.4584052, 45.4584485, 45.4587552, 45.4587121, 45.4586309, 45.4586063, 45.4583103, 45.4579919, 45.4579843, 45.4579761]","[9.2396806, 9.2400669, 9.2403111, 9.2403748, 9.2399582, 9.2398938, 9.2397722, 9.2397354, 9.2392931, 9.2394775, 9.2395715, 9.2396806]"
residential,"[45.4579761, 45.458239, 45.4584052, 45.4584485, 45.4582782, 45.4582263, 45.4581879, 45.4581429, 45.4580901, 45.4579911, 45.4579147, 45.4579349, 45.4579379, 45.4579761]","[9.2396806, 9.2400669, 9.2403111, 9.2403748, 9.2406062, 9.2406767, 9.2406222, 9.2405833, 9.2405461, 9.2404865, 9.2404465, 9.2403499, 9.2403136, 9.2396806]"
residential,"[45.4584653, 45.4583103, 45.4586063, 45.4586309, 45.4587121, 45.4587552, 45.4588322, 45.4588668, 45.4588243, 45.4587431, 45.4584653]","[9.2392034, 9.2392931, 9.2397354, 9.2397722, 9.2398938, 9.2399582, 9.2398536, 9.2398066, 9.2397412, 9.2396196, 9.2392034]"
retail,"[45.4584653, 45.4587431, 45.4588243, 45.4588668, 45.4591262, 45.4590832, 45.4590431, 45.4589611, 45.4588232, 45.4584653]","[9.2392034, 9.2396196, 9.2397412, 9.2398066, 9.2394542, 9.2393892, 9.2393285, 9.2392047, 9.2389961, 9.2392034]"
retail,"[45.459862, 45.4598688, 45.4588284, 45.4588216, 45.4590026, 45.4591057, 45.459862]","[9.2380169, 9.2377271, 9.2376779, 9.2379678, 9.2379763, 9.2379812, 9.2380169]"
commercial,"[45.4590756, 45.4587826, 45.4587694, 45.4587546, 45.4587851, 45.4588826, 45.4588662, 45.4592705, 45.4593178, 45.4593549, 45.459413, 45.4594735, 45.4596308, 45.4595709, 45.4594233, 45.4594434, 45.4590985, 45.4590756]","[9.2432298, 9.2436195, 9.2436318, 9.2436362, 9.2436686, 9.2438188, 9.2438387, 9.2444735, 9.2445364, 9.2445685, 9.2446034, 9.2446774, 9.2443761, 9.2442983, 9.2440879, 9.2437932, 9.2432656, 9.2432298]"
residential,"[45.4551028, 45.4540592, 45.4543871, 45.4544244, 45.455491, 45.4554455, 45.4551154, 45.4551028]","[9.2438457, 9.2452618, 9.2457441, 9.245799, 9.2443677, 9.2443065, 9.2438621, 9.2438457]"
grass,"[45.4447589, 45.4447297, 45.4446894, 45.4446499, 45.4446111, 45.4445736, 45.4445417, 45.4445147, 45.4445022, 45.4444967, 45.4445362, 45.444582, 45.4446223, 45.4446583, 45.4446923, 45.44472, 45.4447436, 45.4447589]","[9.2244681, 9.2244726, 9.2244913, 9.2245171, 9.2245507, 9.2245922, 9.2246426, 9.224692, 9.2247266, 9.2247489, 9.2247301, 9.2247014, 9.2246678, 9.2246293, 9.2245868, 9.2245472, 9.2245057, 9.2244681]"
grass,"[45.4563149, 45.4564399, 45.4563063, 45.4563149]","[9.2318937, 9.2319782, 9.2307461, 9.2318937]"
garages,"[45.4502985, 45.4492295, 45.4485364, 45.448646, 45.4487651, 45.4487399, 45.4489998, 45.4491843, 45.449603, 45.4507102, 45.4507436, 45.4505523, 45.4505031, 45.4502985]","[9.2585648, 9.2590885, 9.259374, 9.2595741, 9.2598828, 9.2602404, 9.2607189, 9.2610385, 9.2605445, 9.2590436, 9.2589984, 9.2586408, 9.2586969, 9.2585648]"
farmland,"[45.44748, 45.4476759, 45.4487464, 45.4481159, 45.4478968, 45.4474612, 45.4465563, 45.4463205, 45.44748]","[9.260989, 9.2612717, 9.2628169, 9.2637156, 9.2636927, 9.2642684, 9.2629357, 9.2625884, 9.260989]"
farmyard,"[45.4476759, 45.4487464, 45.44953, 45.4493676, 45.4494545, 45.4493783, 45.4486271, 45.4485874, 45.4476759]","[9.2612717, 9.2628169, 9.2617713, 9.2615882, 9.2610738, 9.2609449, 9.2596736, 9.2597403, 9.2612717]"
grass,"[45.4600833, 45.4599574, 45.4597333, 45.4596525, 45.4596471, 45.459643, 45.4601061, 45.4604434, 45.4604441, 45.4601065, 45.460081, 45.4600833]","[9.2185813, 9.2186174, 9.2186816, 9.2187047, 9.2181212, 9.217684, 9.2176791, 9.2176755, 9.2178293, 9.2179527, 9.2179623, 9.2185813]"
grass,"[45.4333305, 45.4333004, 45.4332458, 45.4331122, 45.4330821, 45.4330125, 45.4328901, 45.4328393, 45.4328067, 45.4327998, 45.4327302, 45.4321147, 45.4319603, 45.4317796, 45.4318436, 45.4319484, 45.4320557, 45.4321761, 45.4322351, 45.4318417, 45.4317363, 45.431518, 45.4308027, 45.4304564, 45.4306446, 45.4303529, 45.4302173, 45.4298333, 45.4292178, 45.4294305, 45.4293195, 45.428926, 45.428948, 45.4289875, 45.4290026, 45.429987, 45.4307143, 45.4310192, 45.4314992, 45.4317382, 45.4319678, 45.4321241, 45.4326153, 45.4326887, 45.4327678, 45.4328374, 45.4329146, 45.4329673, 45.4330539, 45.4331511, 45.4332044, 45.4332189, 45.4332081, 45.4331931, 45.4331912, 45.4332496, 45.4333168, 45.4333305]","[9.2647147, 9.2647469, 9.2647603, 9.2647952, 9.2645886, 9.2644921, 9.2643231, 9.2642507, 9.2642222, 9.2642346, 9.2641703, 9.2653638, 9.2656991, 9.2658627, 9.2659807, 9.2658852, 9.2658611, 9.2658396, 9.2659941, 9.2662704, 9.2663187, 9.2663509, 9.2674398, 9.267987, 9.2685315, 9.2687407, 9.2685529, 9.2691082, 9.2699584, 9.2705458, 9.2706424, 9.2700389, 9.2698442, 9.2697127, 9.2696403, 9.2683609, 9.267295, 9.2668873, 9.2661309, 9.2658412, 9.265565, 9.2652592, 9.2642453, 9.2640604, 9.2639048, 9.263819, 9.2637841, 9.2637841, 9.2638243, 9.2638923, 9.2639692, 9.2640211, 9.2641033, 9.2642587, 9.2644143, 9.2645591, 9.264638, 9.2647147]"
meadow,"[45.434121, 45.4343318, 45.4347459, 45.4349379, 45.4350734, 45.4352578, 45.4353331, 45.4365791, 45.435894, 45.4356644, 45.4353646, 45.4351035, 45.434623, 45.4343181, 45.434121]","[9.2644572, 9.2647523, 9.2654335, 9.2658841, 9.2660129, 9.2661309, 9.2661953, 9.2660183, 9.263111, 9.2632022, 9.263423, 9.2637065, 9.2640881, 9.2643349, 9.2644572]"
grass,"[45.4350339, 45.4349897, 45.4349537, 45.4349358, 45.4349295, 45.4349361, 45.4349563, 45.4349747, 45.4350072, 45.4350393, 45.4350738, 45.4350905, 45.4351142, 45.4351319, 45.4351333, 45.4351279, 45.4351019, 45.4350722, 45.4350339]","[9.26626, 9.2662729, 9.2663116, 9.2663554, 9.2664043, 9.2664574, 9.2665043, 9.2665269, 9.2665475, 9.2665514, 9.266539, 9.2665255, 9.2664925, 9.2664368, 9.2663862, 9.2663555, 9.2662995, 9.2662718, 9.26626]"
grass,"[45.4341248, 45.4339102, 45.4339755, 45.434015, 45.4340476, 45.4340457, 45.4340438, 45.4341511, 45.4341581, 45.4341812, 45.4341656, 45.4341248]","[9.261177, 9.2614238, 9.2614623, 9.2614998, 9.2615713, 9.2616357, 9.2616652, 9.2614586, 9.2614032, 9.2612897, 9.2612504, 9.261177]"
meadow,"[45.4341907, 45.4348682, 45.4352854, 45.4350866, 45.4341907]","[9.2640818, 9.2622982, 9.2631849, 9.2634086, 9.2640818]"
grass,"[45.4335564, 45.4334303, 45.4333776, 45.4333587, 45.43336, 45.4333807, 45.4334096, 45.4334886, 45.4334717, 45.4336053, 45.4335564]","[9.261582, 9.2619468, 9.2620782, 9.2621748, 9.262222, 9.2622703, 9.2622284, 9.2619978, 9.2619763, 9.2616303, 9.261582]"
grass,"[45.4342128, 45.4341737, 45.4341304, 45.4340834, 45.4342942, 45.4343594, 45.4345191, 45.4346085, 45.4346763, 45.4346932, 45.4345958, 45.4344975, 45.4343845, 45.4342452, 45.4342128]","[9.2649895, 9.2649643, 9.2649053, 9.2650555, 9.2652432, 9.2653065, 9.2655352, 9.2656536, 9.2658092, 9.2657904, 9.2655858, 9.2654042, 9.2652406, 9.2650528, 9.2649895]"
grass,"[45.4352861, 45.4352541, 45.4352315, 45.4352221, 45.4352032, 45.4351807, 45.4351562, 45.4353068, 45.4352861]","[9.2664234, 9.2664422, 9.2664797, 9.26652, 9.2665602, 9.2666031, 9.266638, 9.2665736, 9.2664234]"
grass,"[45.4347723, 45.4353181, 45.4354009, 45.4355006, 45.4357077, 45.43599, 45.4365161, 45.4366648, 45.4367439, 45.4366732, 45.43666, 45.436613, 45.4365697, 45.4362911, 45.4353049, 45.4349916, 45.4347723]","[9.2669223, 9.2685878, 9.2684457, 9.2682284, 9.2678609, 9.2676169, 9.2673151, 9.2672078, 9.267122, 9.2668391, 9.2666273, 9.2663885, 9.2662464, 9.2662893, 9.2666541, 9.266784, 9.2669223]"
residential,"[45.4677109, 45.4677177, 45.4677613, 45.4624184, 45.462429, 45.4623777, 45.4626279, 45.462628, 45.4626288, 45.4626307, 45.4626326, 45.463118, 45.463118, 45.4629826, 45.4629561, 45.4629358, 45.4629355, 45.462934, 45.4629327, 45.4629304, 45.4629298, 45.4629295, 45.4629295, 45.462214, 45.4622462, 45.4622343, 45.4674735, 45.4674776, 45.4675083, 45.4677109]","[9.2247144, 9.2254908, 9.2301334, 9.2302005, 9.228058, 9.2278051, 9.2278011, 9.2277725, 9.2276012, 9.2274507, 9.2272512, 9.2272566, 9.2268408, 9.2268427, 9.2268231, 9.2267906, 9.2267433, 9.2265242, 9.2263278, 9.2259791, 9.2258978, 9.2258097, 9.2257863, 9.225779, 9.2242839, 9.2239105, 9.2238744, 9.2240668, 9.2242213, 9.2247144]"
retail,"[45.4622144, 45.462202, 45.4622133, 45.4622321, 45.462354, 45.4623719, 45.462628, 45.4626288, 45.4626307, 45.4626326, 45.463118, 45.463118, 45.4629826, 45.4629561, 45.4629358, 45.4629355, 45.462934, 45.4629327, 45.4629304, 45.4629298, 45.4629295, 45.4622144]","[9.2258055, 9.2272228, 9.227373, 9.2274293, 9.2277108, 9.2277955, 9.2277725, 9.2276012, 9.2274507, 9.2272512, 9.2272566, 9.2268408, 9.2268427, 9.2268231, 9.2267906, 9.2267433, 9.2265242, 9.2263278, 9.2259791, 9.2258978, 9.2258097, 9.2258055]"
residential,"[45.4624206, 45.4624113, 45.4623912, 45.4623695, 45.4623307, 45.4622185, 45.4621969, 45.4621752, 45.4621561, 45.4667763, 45.4667838, 45.4668148, 45.4677567, 45.4677915, 45.4677995, 45.4677609, 45.4624206]","[9.2302498, 9.2324055, 9.2325933, 9.2326905, 9.23277, 9.2329193, 9.2329622, 9.2330347, 9.2351358, 9.2350808, 9.2350017, 9.2349105, 9.233175, 9.2330806, 9.2330049, 9.2301621, 9.2302498]"
grass,"[45.4560961, 45.4560956, 45.4559991, 45.455999, 45.4560542, 45.4560767, 45.456077, 45.4560905, 45.4560961]","[9.2266057, 9.2267354, 9.2267355, 9.2267245, 9.2267238, 9.2266961, 9.2266324, 9.2266064, 9.2266057]"
grass,"[45.4560959, 45.4560864, 45.4560858, 45.4560955, 45.4560959]","[9.2265011, 9.2265011, 9.226284, 9.226284, 9.2265011]"
retail,"[45.4558263, 45.4559916, 45.4560853, 45.4561642, 45.4561694, 45.4558839, 45.4558835, 45.4558833, 45.4558831, 45.4558829, 45.4558272, 45.4558263]","[9.2261371, 9.2261363, 9.2261358, 9.2261364, 9.2268188, 9.2268236, 9.2267404, 9.2266938, 9.2266448, 9.2266084, 9.2265528, 9.2261371]"
residential,"[45.4561642, 45.4561623, 45.4560845, 45.4559905, 45.4556084, 45.4556026, 45.4556084, 45.4556087, 45.4556096, 45.455225, 45.4552247, 45.4552242, 45.4551236, 45.4550882, 45.4547611, 45.4546971, 45.4546994, 45.4558839, 45.4558835, 45.4558833, 45.4558831, 45.4558829, 45.4558272, 45.4558263, 45.4559916, 45.4560853, 45.4561642]","[9.2261364, 9.225871, 9.2258715, 9.2258732, 9.2258805, 9.2258806, 9.2266015, 9.2266381, 9.2267441, 9.2267491, 9.2265858, 9.2262317, 9.226233, 9.2262334, 9.2262376, 9.2262369, 9.2268443, 9.2268236, 9.2267404, 9.2266938, 9.2266448, 9.2266084, 9.2265528, 9.2261371, 9.2261363, 9.2261358, 9.2261364]"
industrial,"[45.4546971, 45.4546849, 45.4561601, 45.4561499, 45.4561595, 45.4561623, 45.4560845, 45.4559905, 45.4556084, 45.4556026, 45.4556084, 45.4556087, 45.4556096, 45.455225, 45.4552247, 45.4552242, 45.4551236, 45.4550882, 45.4547611, 45.4546971]","[9.2262369, 9.2240108, 9.224022, 9.2241637, 9.2254871, 9.225871, 9.2258715, 9.2258732, 9.2258805, 9.2258806, 9.2266015, 9.2266381, 9.2267441, 9.2267491, 9.2265858, 9.2262317, 9.226233, 9.2262334, 9.2262376, 9.2262369]"
retail,"[45.4543115, 45.454313, 45.4543134, 45.4543136, 45.4543164, 45.4545255, 45.454611, 45.4546749, 45.4546692, 45.4543115]","[9.2240166, 9.2243287, 9.2244297, 9.2244891, 9.2248799, 9.2248742, 9.2248739, 9.2248733, 9.2240132, 9.2240166]"
residential,"[45.4443126, 45.4444383, 45.4445622, 45.4438954, 45.4439977, 45.4439946, 45.4414544, 45.441406, 45.4413623, 45.4411745, 45.4411632, 45.4411435, 45.4406111, 45.4405204, 45.440424, 45.4403862, 45.440247, 45.4397528, 45.439705, 45.439691, 45.4393518, 45.4391472, 45.439202, 45.4393925, 45.4398583, 45.4392765, 45.4392323, 45.438985, 45.4387054, 45.4386402, 45.4387072, 45.4386901, 45.4386738, 45.4383629, 45.4382829, 45.4379636, 45.4379348, 45.4389029, 45.4397008, 45.4401731, 45.4403365, 45.4417784, 45.4429616, 45.4439816, 45.4440798, 45.4441357, 45.4441943, 45.4442679, 45.4443126]","[9.2248993, 9.2265112, 9.2280989, 9.2287545, 9.2289688, 9.2293399, 9.2304878, 9.2303092, 9.2301478, 9.2290692, 9.2290346, 9.2290073, 9.2284085, 9.2283013, 9.2281947, 9.2282777, 9.2285835, 9.228035, 9.2279812, 9.2280116, 9.2287476, 9.2291915, 9.2292403, 9.2290066, 9.2294375, 9.230716, 9.2308096, 9.2305831, 9.2303269, 9.2302741, 9.2301246, 9.230082, 9.2300464, 9.229437, 9.2292816, 9.2286713, 9.2286062, 9.2265629, 9.2249337, 9.2247736, 9.2244534, 9.2244535, 9.2244536, 9.2244537, 9.2244742, 9.2245183, 9.2245645, 9.2247336, 9.2248993]"
farmland,"[45.4353082, 45.4344349, 45.4343107, 45.4340472, 45.4340732, 45.43448, 45.4348708, 45.4358922, 45.4361898, 45.4364936, 45.4371012, 45.4385521, 45.4399223, 45.4415218, 45.4425262, 45.4430904, 45.4431896, 45.4409081, 45.4396247, 45.4393395, 45.4384405, 45.4378639, 45.4374422, 45.4355759, 45.4353961, 45.4353082]","[9.2631077, 9.2612195, 9.2610854, 9.2606562, 9.2605293, 9.2599236, 9.2595262, 9.2589069, 9.2586241, 9.2580763, 9.2572457, 9.2574048, 9.2578377, 9.2583944, 9.2584916, 9.259066, 9.2600556, 9.2613457, 9.261867, 9.2617875, 9.2616903, 9.2620084, 9.2624149, 9.2628478, 9.2629274, 9.2631077]"
grass,"[45.4382608, 45.4386723, 45.4386084, 45.4385601, 45.4385168, 45.438455, 45.4384142, 45.4383483, 45.4383033, 45.4382286, 45.4382608]","[9.2272312, 9.226408, 9.2263387, 9.2264431, 9.2265368, 9.2266705, 9.2267587, 9.2269011, 9.2269986, 9.2271601, 9.2272312]"
grass,"[45.432401, 45.4322582, 45.4322584, 45.4326941, 45.4328943, 45.432401]","[9.2246421, 9.2246445, 9.2246847, 9.2250663, 9.225209, 9.2246421]"
retail,"[45.4356927, 45.4355054, 45.435504, 45.4356912, 45.4356927]","[9.2244836, 9.2244856, 9.2255473, 9.2255401, 9.2244836]"
industrial,"[45.4322201, 45.4329162, 45.4331839, 45.4335942, 45.4338348, 45.4339329, 45.4330826, 45.4330228, 45.4317106, 45.4320298, 45.4321172, 45.4322201]","[9.2382356, 9.2375469, 9.237282, 9.2368804, 9.2366852, 9.2367711, 9.238736, 9.2388656, 9.2393999, 9.2385833, 9.2383915, 9.2382356]"
